date_of_drilling,latitude,longtude,use_of_waterpoint,other_useage,funding_source,wrb1a_form_completed,contract_signed,community_agreement,drilling_contractor,driller_licensed,staff_experienced,drilling_rig_model,compressor_specs,equipment_condition,safety_features_condition,equipment_capability,equipment_capability_specs,ppe_available,drilling_equipment_image,location_selection_methodology,hydrogeological_study_done,geophysical_survey_done,min_distance_50m_from_contamination,distance_from_contamination,location_accessible,location_suitable_for_drilling,distance_from_water_bodies,location_photo,perimeter_fence,staff_protected,parking_area,emergency_access,suitable_distance_from_power_lines,distance,materials_stored_safely,chemicals_stored_safely,first_aid_kit,fire_extinguisher,adquate_welfare_facilities,welfare_facilities_distance,site_setup_preliminaries_completed,rig_setup_properly,reference_point,reference_point_height,rig_level_method,rig_setup_problems,setup_problems,drill_rod_length,min_diameter_177mm,min_diameter,casing_stored_properly,where_stored,why_not_properly_stored,index_1,rod_number,depth_from_1,depth_to_1,circulation_method,drill_bit_type,drilling_diameter_mm,time_taken_in_minutes,drilling_comments,water_strike_in_miters,index_2,depth_from_2,depth_to_2,temp_casing_material,temp_casing_diameter,index_3,depth_from_3,depth_to_3,rock_or_soil_type,colour,weathering,grain_size_description,sorting,additional_description,formation_name,index_4,hole_depth_1,discharge_rate_1,discharge_measurement_method,ec_ms_cm_1,tds_mgl_1,ph_1,temp_celcius_1,comments_1,borehole_depth_miters,water_level,measurement_date,borehole_suitable_further_use,installation_design_available,design_agreed_by_driller, date_casing_installation  ,materials_meet_standards,materials_pre_inspected,Index (8),inner_diameter,outer_diameter,material_1,slot_aperture,end_cap_fitted,centralisers_fitted,casing_connection_type  ,index_9,depth_from_4,depth_to_4,casing_inner_diameter,casing_material,casing_material_strength,slotted,gravel_pack_clean, gravel_pack_quality,index_10,depth_from_5,depth_to_5,gravel_min_grain_size,gravel_max_grain_size,gravel_pack_final_level,static_water_level_pre_dev,index_11,duration,method,index_12,time,lift_depth,discharge_rate,ec_ms_cm_3,tds_mg_l_2,ph_3,temp_c_2,turbidity_ntu,sediment,static_water_level_post_dev,final_borehole_design_summary
12/10/2018,-15.8062939,35.2082009,Community,,Scottish Government,No,Yes,Yes,OG Madzi,Yes,Yes,PRD,"Air, PG 6005 - 200",Yes,Yes,Yes,,Yes,https://api.mwater.co/v3/images/72fee13c617748a199fcb317692a5cd4; https://api.mwater.co/v3/images/3b9703c1c0d140b28c2d438974f6bb09; https://api.mwater.co/v3/images/da3d6baa91f74560a1251ba8122a0b22; https://api.mwater.co/v3/images/6f6cf7173a3147cab8d6453d1aaee0ca; https://api.mwater.co/v3/images/cc84f37add3544c894604047f7e9282f; https://api.mwater.co/v3/images/f02501ffbe7c4b34b75cc7b84a8d3347; https://api.mwater.co/v3/images/922c09a26ede4ff2988e388f7c5c3bcc; https://api.mwater.co/v3/images/5c9718b0dfdb450b963150b0f0ef533f,"Hydrogeological Desk Study
Nearby Pumping Tests
Geophysical Survey
Community engagement
Needs assessment",Yes,Yes,Yes,54m pit latrine,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Drilling/Rotary Table,1.38,Spirit level on rods,No,,3,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.33,,,Yes,Yes,Yes,12/10/2018,Yes,Yes,,,,,,Yes,Yes,Solvent Cement,,,,,,,,Yes,Yes,,,,,,5.6,5,,,,,,,,,,,,,,45.1,
9/29/2018,-14.9064879,34.8320724,Other,Groundwater will supplement pipes water supply to Balaka area,Scottish Government,Yes,Yes,Yes,OG Madzi Construction ,Yes,Yes,PRF 12 tonne ,ELGi PG IIOOS-300,Yes,Yes,Yes,,Yes,https://api.mwater.co/v3/images/12809ecf3b48459bbc8fea5ed39e6c40; https://api.mwater.co/v3/images/86f4128e198a4d68bdc6656e7d897685; https://api.mwater.co/v3/images/ad652327e867468783000f4497be91ae; https://api.mwater.co/v3/images/71770c511a894419b7f59168e6611894,Government of Malawi chose locations,Yes,Yes,Yes,,Yes,Yes,Yes,https://api.mwater.co/v3/images/bb7cf5fff52349519c727cd2d5d89970,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Drilling/Rotary Table,0.82,Spirit level attached to drilling rig,No,,5,Yes,254mm,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,Yes,Yes,,,,,,Yes,Yes,Solvent Cement,,,,,,,,Yes,Yes,,,,,,20,14.48,,,,,,,,,,,,,,14.48,
12/19/2018,-15.7866304,35.2381471,Community,,Scottish Government,No,Yes,Yes,OG Madzi Drilling Company,Yes,Yes,PRD 500,"Air, ELGI PG 6005 - 200",Yes,Yes,Yes,,Yes,https://api.mwater.co/v3/images/59e3a563983b4da7b46698e422b4ad35; https://api.mwater.co/v3/images/986cdc608fb048fcb0d48c3fc3da319d; https://api.mwater.co/v3/images/cd9643ba56904f2daf144f292e03423a; https://api.mwater.co/v3/images/0e55c7a9394543e4af3e3d94bb996559; https://api.mwater.co/v3/images/e938d55868bb4625987d805ebc034dab; https://api.mwater.co/v3/images/0c63b19c2e324e688af531ed9665e22a; https://api.mwater.co/v3/images/223011c5d35646ad88d2fd68571a95fe,"Hydrogeological Desk Study
Geophysical survey
Nearby pumping tests
Nearby drilling
Community Engagement
Community needs assessment
",Yes,Yes,Yes,,Yes,Yes,Yes,https://api.mwater.co/v3/images/a93289219dcf47549f40b94914b68580,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Drilling/Rotary Table,0.82,Spirit level on rods,No,,3,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,No,Yes,Yes,12/19/2018,Yes,Yes,,,,,,,,,,,,,,,,Yes,Yes,,,,,,4.45,14,,,,,,,,,,,,,,39.63,
2/26/2019,-15.3608058,35.241281,Community,,The Scottish Government through the Climate Justice Fund: Water futures Programme,Yes,Yes,Yes,OG Madzi Drillers,Yes,Yes,PRD 650,ELGi DS 900-200,Yes,Yes,Yes,,Yes,https://api.mwater.co/v3/images/4ce8cc7d70e04f24b17610d97553abe4; https://api.mwater.co/v3/images/4f78ad1ee6d643afaa2ce4cb20784b08; https://api.mwater.co/v3/images/de24867e5d994dd58b99bb2ada98a5d1; https://api.mwater.co/v3/images/5464327e5df2424b90ed02f46599b39f,"Hydrogeologist sited drill location using desk study, geophysical surveying and site visits of all boreholes within 2km radius, inclusing chemical sampling. At 2 nearby sites, comprehensive borehole investigative techniques, such pumping tests and chemical sampling, were employed.",Yes,Yes,Yes,,Yes,Yes,Yes,https://api.mwater.co/v3/images/65b7e8aab6ce46a2b51fe55d99057111,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Drilling/Rotary Table,1.17,Spirit level on rods,No,,3,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/27/2019,-15.4660622,35.1982778,Education institution,,The Scottish Government through the CJf: CJF,Yes,Yes,Yes,OG Madzi Drillers,Yes,Yes,PRD 650,ELGi DS 900-200,Yes,Yes,Yes,,Yes,,"Hydrogeologist sited drill location using desk study, geophysical surveying and site visits of all boreholes within 2km radius, inclusing chemical sampling. At 2 nearby sites, comprehensive borehole investigative techniques, such pumping tests and chemical sampling, were employed.",Yes,Yes,Yes,,Yes,Yes,Yes,https://api.mwater.co/v3/images/2eda39fad9fe49bbb660efc550ed0181,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Drilling/Rotary Table,1.13,Spirit level on rods,No,,3,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/2019,-15.4649542,35.1984118,Education institution,,The Scottish Government,Yes,Yes,Yes,OG Madzi Drillers,Yes,Yes,PRD 650,ELGi DS 900-200,Yes,Yes,Yes,,Yes,https://api.mwater.co/v3/images/e117f83f989c4573a02549dcce6c5825; https://api.mwater.co/v3/images/579db05fe2454fd2900a7eb77371e5d1,Desk study and through the use if geophysical surveying,Yes,Yes,Yes,,Yes,Yes,Yes,https://api.mwater.co/v3/images/1a6cda7c364b45539fc82ce0be41326d,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Drilling/Rotary Table,1.3,Spirit level on rods,No,,3,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2019,-13.8538251,35.1085533,Community,,Scottish Government,Yes,Yes,Yes,OG Madzi,Yes,Yes,PRD 650,DS 900-200,Yes,Yes,Yes,,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,https://api.mwater.co/v3/images/72bad60a3b52417abea22a1e58fcce11; https://api.mwater.co/v3/images/284bfe2dcfdf40659a8a5d1a4f662c1c; https://api.mwater.co/v3/images/a61490df81564b3eb2fb87e2f99cc940; https://api.mwater.co/v3/images/4ae602c9c6644b1896f37457b7c3f0c5; https://api.mwater.co/v3/images/c53187ce2a2d42248e68f375b7793387; https://api.mwater.co/v3/images/fdff7095e6114dacab528d44303764f0,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,Yes,Drilling/Rotary Table,1.13,Spirit level on rods,No,,3,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.3,,,Yes,Yes,Yes,3/6/2019,Yes,Yes,,,,,,Yes,No,Solvent Cement,,,,,,,,Yes,Yes,,,,,,5.2,3.1,,,,,,,,,,,,,,3.1,
4/2/2019,-15.46188794,35.19995928,Community,,Scottish Government ,Yes,Yes,Yes,OG MADZI,Yes,Yes,PRD,"ELGI
DS 900-200",Yes,Yes,Yes,,Yes,https://api.mwater.co/v3/images/6687ee57fd11469ba5f36965a6bdc4b1; https://api.mwater.co/v3/images/ca44473b167248c582f2fb27a89916f8; https://api.mwater.co/v3/images/ef39a59d35f3467f834928a42c87bdfc; https://api.mwater.co/v3/images/0286215bc8094ff8a3b971ffbe1531e2; https://api.mwater.co/v3/images/d7a21405f638499babad5684389ac080; https://api.mwater.co/v3/images/123375d88ad0494c908047e27fa7f006; https://api.mwater.co/v3/images/ab74169040524316a0fb7cbedbb40871; https://api.mwater.co/v3/images/b4d4e53cd600483ea792e3c114734ee2; https://api.mwater.co/v3/images/1bfe928b3146400b8197658b55ccbb1d; https://api.mwater.co/v3/images/a56394da2c5c4fc991caf5dcdbea5bc7,Geophysical siting and community engagement on site selection,No,Yes,Yes,,Yes,Yes,Yes,https://api.mwater.co/v3/images/8819b231fb754ae0b89eeca4ce9325e5; https://api.mwater.co/v3/images/b4f90a77bbcb4cdda07faca6aa69c966,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Drilling/Rotary Table,0.54,Spirit level attached to drilling rig,No,,3,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,Yes,Yes,Yes,4/3/2019,Yes,Yes,,,,,,Yes,No,Solvent Cement,,,,,,,,Yes,Yes,,,,,,,1.92,,,,,,,,,,,,,,1.9,https://api.mwater.co/v3/images/bfd12438b4304fc08720f297c0118196
4/1/2019,-15.49101158,35.22863308,Community,,Scottish Government ,Yes,Yes,Yes,OG Madzi,Yes,Yes,PRD 650,"ELGI
DS 900-200
900",Yes,Yes,Yes,,Yes,https://api.mwater.co/v3/images/130121c5d0c641b0af5b895d7fc459ad; https://api.mwater.co/v3/images/adf72613aad34ec3ba38260a5b612ca4; https://api.mwater.co/v3/images/ee0d5e71af8641998605cdf339b02561; https://api.mwater.co/v3/images/44cc2ab694a54d31abfb713bac1ab1a6; https://api.mwater.co/v3/images/9cc74b47b85c437db6ec8b9b20cc42d7; https://api.mwater.co/v3/images/ecdfc6c662384c9d80f942aee0452d2e; https://api.mwater.co/v3/images/1e753c32e2be4740b849b2c85d5b8ad0; https://api.mwater.co/v3/images/504bbb468ca84e8288fe0320b01a4a6f,Community engagement and geophysical survey. Site selected away from contaminants,No,Yes,Yes,,Yes,Yes,Yes,https://api.mwater.co/v3/images/0f1b7376443749d1a88d90d0da1b6c0d,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Drilling/Rotary Table,1.2,Spirit level attached to drilling rig,No,,3,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,4/2/2019,Yes,Yes,,,,,,Yes,No,Solvent Cement,,,,,,,,Yes,Yes,,,,,,4.78,2.83,,,,,,,,,,,,,,2.85,https://api.mwater.co/v3/images/83ee0196ad6a46b197fb1dbe43abc7ed
10/20/2019,-16.06089505,35.20915075,Community,,One foundation,Yes,Yes,Yes,EAZY Drilling Copmany,N/A (comments),Yes,"KRD, Honda","Ingsoland, 210 Hp",Yes,Yes,Yes,,Yes,https://api.mwater.co/v3/images/e6ac408731cb49bf96aed284dadf70bd; https://api.mwater.co/v3/images/dada79721e6d415cbf3495aa6660abf4; https://api.mwater.co/v3/images/79aaeb93500747979f0c78135fa7f5ad; https://api.mwater.co/v3/images/5e17d8ecdc204c4590e71ab7a62913e9; https://api.mwater.co/v3/images/90f7f65a43244fb49c3eb827a413ba90; https://api.mwater.co/v3/images/8eae48c513ba4ce583ed65f2605a5a81,Geophysical survey ,Yes,Yes,Yes,,Yes,Yes,Yes,https://api.mwater.co/v3/images/45cddfe7cee8454e8ffebd0ae90277b9,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Drilling/Rotary Table,0.3,Other,No,,1.5,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,Yes,Yes,Yes,10/21/2019,Yes,Yes,,,,,,Yes,No,Solvent Cement,,,,,,,,Yes,Yes,,,,,,2.4,10.42,,,,,,,,,,,,,,11.2,https://api.mwater.co/v3/images/991b8e8ff63a40deb146f853768df7b9
3/29/2019,-15.40855188,35.25200885,Community,,Scottish Government ,Yes,Yes,Yes,OG Madzi,Yes,Yes,"PRD, 650","ELGi, 
DS900-200,
900",Yes,Yes,Yes,,Yes,https://api.mwater.co/v3/images/dbf8e53cd21f4385b4d177529f40986f; https://api.mwater.co/v3/images/7dfede2006474b88ba29ad20e7b3ae5e; https://api.mwater.co/v3/images/c7176419fa144391a8baa1556c97c1bd; https://api.mwater.co/v3/images/40418ca9e7214acdb4f8c99aee7cb491; https://api.mwater.co/v3/images/098e1ab3cc94449a95baff48b35d6358; https://api.mwater.co/v3/images/3b5e9490ab55415a8ca2a3e41deea88e,"Community engagement on site selection, Geophysical survey was done and point chosen away from ",No,Yes,Yes,,Yes,Yes,Yes,https://api.mwater.co/v3/images/2a636be5588641408fe770051d9a2a16,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Drilling/Rotary Table,1.3,Spirit level attached to drilling rig,No,,3,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,3/31/2019,Yes,Yes,,,,,,Yes,No,Solvent Cement,,,,,,,,Yes,Yes,,,,,,5,5.2,,,,,,,,,,,,,,4.9,https://api.mwater.co/v3/images/6e15762bca144e579303fb0c5c1aa9c3
11/4/2019,-16.1526232,35.0763676,Community,,One Foundation ,Yes,Yes,Yes,Eazy borehole drillers,N/A (comments),Yes,"KRD, 3875958-02 India HES","ELGI, 210 HP",Yes,Yes,Yes,,Yes,https://api.mwater.co/v3/images/1994a54e814a4c5e93cb984afee8d52f; https://api.mwater.co/v3/images/94ecc1962b9849bcad7c5370bd098ad6; https://api.mwater.co/v3/images/626bd115e1dc449cbdf35b6778a5b155; https://api.mwater.co/v3/images/72492a252a6e4f21b934683274cef7bd; https://api.mwater.co/v3/images/87feff1b5c8e4737bd73f03896d41c01,Geophysical survey and community involvement ,Yes,Yes,Yes,,Yes,Yes,Yes,https://api.mwater.co/v3/images/8dcb21e3a6a9417b9067de1f58e95116; https://api.mwater.co/v3/images/89fcdc9931694ccea0741307807f0b94,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Drilling/Rotary Table,0.87,Spirit level attached to drilling rig,No,,4.6,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2019,-16.102918,35.22555019,Community,,One Alliance,Yes,Yes,Yes,Eazy borehole drillers,N/A (comments),Yes,,,Yes,Yes,Yes,,No,https://api.mwater.co/v3/images/d572c603db6f4a16ab7681aa45baa232; https://api.mwater.co/v3/images/0a0521089ab74bd6bd9084b343730eee; https://api.mwater.co/v3/images/60c1d0e0d6964253b5ea4f31d18d9aa5; https://api.mwater.co/v3/images/d88894a2394148e7a16cd38d96294344,Community involvement and geophysical survey,Yes,Yes,Yes,,Yes,Yes,Yes,https://api.mwater.co/v3/images/48ea9ccbcd7d41e2b9035d9533813e6a; https://api.mwater.co/v3/images/2df55fe3d0f841c7b7a6232f3d0c8f4e,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Drilling/Rotary Table,0.86,Spirit level attached to drilling rig,No,,4.58,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,,,Yes,Yes,Yes,11/2/2019,Yes,Yes,,,,,,Yes,No,Solvent Cement,,,,,,,,Yes,Yes,,,,,,1.9,7.9,,,,,,,,,,,,,,,https://api.mwater.co/v3/images/09a6ec30df6b4d69ab1f54c79a978766; https://api.mwater.co/v3/images/da6de2aa36ff408791deff558fee8f62
10/24/2019,-13.87035628,33.76202129,Community,,One Foundation ,N/A (comments),Yes,Yes,Eazy borehole drilling Company ,N/A (comments),Yes,"KRD, Honda","Ingarson, 210 Hp",Yes,Yes,Yes,,Yes,https://api.mwater.co/v3/images/4e899beef1f74c869d7405092d59a619; https://api.mwater.co/v3/images/0102b01a02db4ad597df498d85fdbd45; https://api.mwater.co/v3/images/f43015c81350403ba863ea5d175d8965; https://api.mwater.co/v3/images/04f47a8b9f344a6ebb2ae8bdb8c25e4d,Geophysical survey and community engagement,Yes,Yes,Yes,,Yes,Yes,Yes,https://api.mwater.co/v3/images/0d0e8227df674e10b3b97461bb909741; https://api.mwater.co/v3/images/077e76a695b34d13ba73bad982ef4ac3,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Drilling/Rotary Table,0.28,Spirit level attached to drilling rig,No,,1.5,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/25/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/6/2019,-16.2247318,35.0836464,Community,,Onefoundation,Yes,Yes,Yes,EASY BOREHOLE DRILLING COMPANY,N/A (comments),Yes,"KRD,3875958,India,HES","ELG,210,HP",Yes,Yes,Yes,,Yes,https://api.mwater.co/v3/images/2f7a27ac12014c1eb4ebc4c5abe4e273; https://api.mwater.co/v3/images/1ae5a699585e4f13bf9f2eb7d58f60cc; https://api.mwater.co/v3/images/aa350872f30047048142cea00d422fc6; https://api.mwater.co/v3/images/b1480894d0684816b2340803f75f1142,Resesitivity/Electrical surveys were done to find a drilling site.3points were identified in the village,Yes,Yes,Yes,,Yes,Yes,Yes,https://api.mwater.co/v3/images/2a54ec95697c4da297a022e48f450d50; https://api.mwater.co/v3/images/87901e875dc54dccabbdebf0bb284ae4,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Drilling/Rotary Table,0.8,Spirit level attached to drilling rig,No,,4.6,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,Yes,No,Solvent Cement,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
10/22/2019,-16.10293213,35.22551397,Community,,"One Foundation
",Yes,Yes,Yes,Eazy borehole Drilling company,Yes,Yes,KRD Honda,"Ingsoland, 210 Hp",Yes,Yes,Yes,,Yes,https://api.mwater.co/v3/images/ce658ed20b3945bab2d1a370ba7a0d4b; https://api.mwater.co/v3/images/1fe741a27014459a8149f3fa255ede84; https://api.mwater.co/v3/images/862657e22b5340ee9756584fa6ea912f; https://api.mwater.co/v3/images/f1c3fdba139c415abd0e42bde9a62ad6; https://api.mwater.co/v3/images/dd561054532449f6b9ce2bb3b5a47f97; https://api.mwater.co/v3/images/cd1c86ec5f7c4dad8ad6fa27294f648e; https://api.mwater.co/v3/images/04b17d987fd14fc8b2e58fec3959ffd5; https://api.mwater.co/v3/images/748b8d09b49c4981b62d0125dbf2b536; https://api.mwater.co/v3/images/16cbbc76e95745c08847758224f07ebb,Geophysical survey plus community engagement,Yes,Yes,Yes,,Yes,Yes,Yes,https://api.mwater.co/v3/images/f67f0030f3ce4cc3bd7fbe4c3c781a64,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Drilling/Rotary Table,0.6,Spirit level attached to drilling rig,No,,1.5,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/6/2020,-16.0833801,35.2733333,Community,,One Foundation,Yes,Yes,Yes,Saifro Ltd,Yes,Yes,Ashokeleyland PHI 2012 model,PG 1100s-300,Yes,Yes,Yes,all machine with good capacity,Yes,https://api.mwater.co/v3/images/80b97f5643e24dc2aef023b20a6e872a; https://api.mwater.co/v3/images/bc539fdd713841e2862d16c0b3335dbe; https://api.mwater.co/v3/images/bb03cf05affd4069b71f4bbd91962905,"People in the community were approached,and agreed on the possible drilling sites",Yes,Yes,Yes,No toilets or pits around,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,No powerlines,Yes,Yes,Yes,Yes,Yes,All welfare facilities are available,Yes,Yes,Drilling/Rotary Table,1,Spirit level attached to drilling rig,No,,3,Yes,200mm,Yes,All pvcs were stored in shades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,Yes,Yes,Yes,9/6/2020,Yes,Yes,,,,,,Yes,No,Solvent Cement,,,,,,,,Yes,Yes,,,,,,4,6,,,,,,,,,,,,,,4.8,https://api.mwater.co/v3/images/6321c06795dd4a52add771f8ff06e130; https://api.mwater.co/v3/images/7334b79c6ee54ecab6fd75c9cfaa0f95; https://api.mwater.co/v3/images/e50b4c673f7942c6812dc8ffdd54fc32
9/7/2020,-16.095068,35.2708599,Community,,One foundation,Yes,Yes,Yes,Saifro Limited,Yes,Yes,AshokelandPHI 2012,"PG 1100s-300,Ashokeleyland",Yes,Yes,Yes,the equipment is capable for drilling the required depth and diameter,Yes,https://api.mwater.co/v3/images/681a9137f5bb47c08662114f4fabc7b9; https://api.mwater.co/v3/images/11b3e619c7054a8eb7cfd570bb8a0dc3; https://api.mwater.co/v3/images/215e880c36194831bee61e5cb8f52a6a,people were mobilized to choose at least 3 sites,Yes,No,Yes,No contamination  sources,Yes,Yes,Yes,https://api.mwater.co/v3/images/92dfee5ae5cd4d0d90332b523f067ce6; https://api.mwater.co/v3/images/429061de32084ed09343b0fb28c0eba0,Yes,Yes,Yes,Yes,Yes,no line as is rural area,Yes,Yes,Yes,Yes,Yes,All adequate welfare facilities available within suitable distance,Yes,Yes,Drilling/Rotary Table,1.2,Spirit level attached to drilling rig,No,,3,Yes,180,Yes,all drilling installation materials have gn put on shade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,Yes,Yes,Yes,9/7/2020,Yes,Yes,,,,,,Yes,No,Solvent Cement,,,,,,,,Yes,Yes,,,,,,5,8,,,,,,,,,,,,,,4,https://api.mwater.co/v3/images/0e6f52905c084b7488bca96408241691
9/16/2020,-16.0687698,35.1439794,Community,,One Foundation,Yes,Yes,Yes,Saifro Limited Company,Yes,Yes,"AshokelandPHI,2012","LG1100300,Ashokeleland",Yes,Yes,Yes,Yes. The equipment is capable of the tasks in the work plan,Yes,https://api.mwater.co/v3/images/d13a1c1300e249b58872f4921d24af5b; https://api.mwater.co/v3/images/bb73b7da63784a78822904e3a9407df4; https://api.mwater.co/v3/images/d248c606fcc54b6881558b39512631f5,Community engagement and consultation with the community leaders and district water officer.,Yes,Yes,Yes,Nearest contamination sources bare at least 50 meters from the site.,Yes,Yes,Yes,https://api.mwater.co/v3/images/33bb5ac9e2854555b05befcc977ab61b,Yes,Yes,Yes,Yes,Yes,There are no power lines located near the drilling site.,Yes,Yes,Yes,Yes,Yes,Adequate welfare facilities are available within a suitable distance of the work area ,Yes,Yes,Drilling/Rotary Table,1,Spirit level attached to drilling rig,No,,3,Yes,Drill in diameter is at least 177mm (200mm used),Yes,Am PVC casing stored in the shade out of sunlight.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/15/2020,-16.1505997,35.2582184,Community,,One Foundation,Yes,Yes,Yes,Saifro Malawi,Yes,Yes,"Ashokeleland,PHI2012",LG1100300,Yes,Yes,Yes,"The equipment are capable of drilling the depth, diameter and methods required in the work plan",Yes,https://api.mwater.co/v3/images/d510146fd464425eb1dba14dd543a01a; https://api.mwater.co/v3/images/3ca318ba33d84d08909f13649105268b,Community mobilization to choose 3 places,Yes,No,Yes,Contamination sources at least 50 metres from the proposed drilling location,Yes,Yes,Yes,https://api.mwater.co/v3/images/320a5057b7a74238ab51838a9d42273e; https://api.mwater.co/v3/images/df9f3319cc82459fb2b32c48620f2fe7,Yes,Yes,Yes,Yes,Yes,No power lines present,Yes,Yes,Yes,Yes,Yes,There adequate welfare facilities,Yes,Yes,Drilling/Rotary Table,1,Spirit level attached to drilling rig,No,,3,Yes,"The planned drilling diameter is at least 177mm ,200mm",Yes,all PVC and installation equipment are in shade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
